original_index,Role,Skill
0,Platform Engineer,"API Design, REST, Node.js, Java, PostgreSQL, Docker, Microservices"
1,Product Manager,"Agile, A/B Testing, MySQL, PostgreSQL, System Design, SQL"
2,Game Developer,"C++, Unity, Unreal Engine, JavaScript"
3,UX Designer,"Figma, User Research, Prototyping, A/B Testing"
4,Cloud Solutions Architect,"Amazon Web Services, Microsoft Azure, System Design, Microservices, Terraform, Kubernetes"
5,Software Engineer,"System Design, Microservices, Distributed Systems, API Design, Amazon Web Services, Docker"
6,Network Security Engineer,"Network Security, Cryptography, Linux, OWASP, Microservices"
7,Cybersecurity Analyst,"Network Security, Cryptography, OWASP, Ethical Hacking"
8,MLOps Engineer,"Docker, Kubernetes, MLFlow, CI/CD, Amazon Web Services, Model Deployment, Data Versioning"
9,Data Scientist,"Python, Pandas, NumPy, scikit-learn, Statistics, Feature Engineering, MySQL, PostgreSQL, SQL"
10,Artificial Intelligence Engineer,"Python, Deep Learning, TensorFlow, PyTorch, NLP, Amazon Web Services, Model Deployment"
11,Machine Learning Engineer,"Python, scikit-learn, TensorFlow, PyTorch, XGBoost, Feature Engineering, Model Deployment"
12,Business Intelligence Analyst,"MySQL, PostgreSQL, Power BI, Tableau, Excel, SQL"
13,Data Analyst,"MySQL, PostgreSQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Statistics, SQL"
14,Cloud Engineer,"Amazon Web Services, Microsoft Azure, Docker, Terraform, Kubernetes, Linux, API Design"
15,DevOps Engineer,"Docker, Kubernetes, CI/CD, Terraform, Linux, Amazon Web Services, Microsoft Azure"
16,Full Stack Developer,"React, Node.js, REST, PostgreSQL, MongoDB, SQL"
17,Back End Developer,"Python, Java, Go, Django, Spring Boot, Express.js, REST, PostgreSQL, MySQL, Linux, SQL"
18,Front End Developer,"JavaScript, TypeScript, React, HTML, CSS, REST"
19,Data Engineer,"Python, SQL, MySQL, PostgreSQL, MongoDB, Redis, Amazon Web Services, Docker, Linux, Data Versioning"
20,AI Research Scientist,"Python, Deep Learning, TensorFlow, PyTorch, NLP, Statistics, Feature Engineering"
21,Site Reliability Engineer,"Linux, Docker, Kubernetes, CI/CD, Redis, Amazon Web Services, System Design, Microservices"
22,Application Security Engineer,"Network Security, Cryptography, OWASP, Ethical Hacking, Linux, REST"
23,Technical Architect,"System Design, Distributed Systems, Microservices, API Design, Amazon Web Services, Microsoft Azure, Docker, Kubernetes"
24,Quantitative Analyst,"Python, Statistics, NumPy, Pandas, SQL, MySQL, PostgreSQL, Feature Engineering"
25,Data Visualization Engineer,"Power BI, Tableau, Excel, SQL, MySQL, PostgreSQL, Python, Pandas"
26,Mobile Application Developer,"JavaScript, TypeScript, React, REST, Node.js, MongoDB"
27,Enterprise Solutions Consultant,"System Design, Distributed Systems, API Design, SQL, Amazon Web Services, Microsoft Azure"
28,Game Systems Engineer,"C++, Unity, Unreal Engine, Distributed Systems"
29,Infrastructure Architect,"Linux, Docker, Kubernetes, Terraform, Amazon Web Services, Microsoft Azure, CI/CD"
30,Database Administrator,"MySQL, PostgreSQL, SQL, Linux, Redis"
31,AI Solutions Consultant,"Python, TensorFlow, PyTorch, Model Deployment, Amazon Web Services, Statistics"
32,Business Data Strategist,"Power BI, Tableau, Excel, SQL, Statistics, MySQL, PostgreSQL"
33,Security Architect,"Network Security, Cryptography, OWASP, System Design, Linux"
34,API Architect,"API Design, REST, Microservices, Node.js, Java, PostgreSQL, Docker"
35,Cloud Migration Specialist,"Amazon Web Services, Microsoft Azure, Terraform, Docker, Linux, System Design"
36,DevSecOps Engineer,"Docker, Kubernetes, CI/CD, Linux, Network Security, OWASP, Amazon Web Services"
37,Machine Learning Operations Specialist,"Python, MLFlow, Model Deployment, Docker, Kubernetes, Data Versioning, Amazon Web Services"
38,Technical Program Manager,"Agile, System Design, A/B Testing, SQL, Amazon Web Services"
39,AI Product Strategist,"Agile, A/B Testing, Python, Statistics, NLP, SQL"
40,Distributed Systems Engineer,"Distributed Systems, Microservices, System Design, Go, Java, Docker, Linux"
